parameter,scenario,year,value,unit,basis,source_ids,confidence,notes
population,ALL,2025,101.6,million,"projection: UN WPP 2024 medium variant, read via OWID in edition 1.0",GT-12,Medium,"UN series used for all years, including 2025, so growth rates never mix UN and GSO (GSO 2025 = 102.3 M). Same path in all scenarios."
population,ALL,2030,104.25,million,"projection: UN WPP 2024 medium variant, read via OWID in edition 1.0",GT-12,Medium,"UN series used for all years, including 2025, so growth rates never mix UN and GSO (GSO 2025 = 102.3 M). Same path in all scenarios."
population,ALL,2035,106.53,million,"projection: UN WPP 2024 medium variant, read via OWID in edition 1.0",GT-12,Medium,"UN series used for all years, including 2025, so growth rates never mix UN and GSO (GSO 2025 = 102.3 M). Same path in all scenarios."
population,ALL,2040,108.44,million,"projection: UN WPP 2024 medium variant, read via OWID in edition 1.0",GT-12,Medium,"UN series used for all years, including 2025, so growth rates never mix UN and GSO (GSO 2025 = 102.3 M). Same path in all scenarios."
population,ALL,2050,110.01,million,"projection: UN WPP 2024 medium variant, read via OWID in edition 1.0",GT-12,Medium,"UN series used for all years, including 2025, so growth rates never mix UN and GSO (GSO 2025 = 102.3 M). Same path in all scenarios."
base_pork_lw_kt,ALL,ALL,5389.2,kt live weight,measured (official estimate) 2025,MAC-14; MAC-12,High,
base_poultry_lw_kt,ALL,ALL,2601.9,kt live weight,measured (official estimate) 2025,MAC-14; MAC-12,High,
base_ruminant_lw_kt,ALL,ALL,624.3,kt live weight,measured 2025: beef 499.1 + buffalo 125.2,MAC-12,Medium,
base_eggs_bn,ALL,ALL,21.4,billion eggs,measured (official estimate) 2025,MAC-14,High,
egg_weight_kg,ALL,ALL,0.055,kg per egg,"assumption: mix of hen, duck and quail eggs",QNT-model,Low,Only affects the split of poultry feed between meat and eggs; the 2025 poultry feed total is calibrated.
base_milk_kt,ALL,ALL,1300,kt fresh milk,measured (official estimate) 2025,MAC-14,High,
base_aq_pangasius_kt,ALL,ALL,1938.8,kt,measured 2025,MAC-15,High,
base_aq_whiteleg_kt,ALL,ALL,994.4,kt,measured 2025,MAC-15,High,
base_aq_othershrimp_kt,ALL,ALL,387.3,kt,"derived 2025: shrimp 1,381.7 minus whiteleg 994.4 (black tiger 296.7 plus other crustaceans)",MAC-15,High,
base_aq_otherfish_kt,ALL,ALL,2096.2,kt,"derived 2025: fish 4,035.0 minus pangasius 1,938.8",MAC-15,High,
base_aq_nonfed_kt,ALL,ALL,700.1,kt,"measured 2025: other aquaculture (molluscs, seaweed and others), treated as unfed",MAC-15,High,
base_feed_livestock_mt,ALL,ALL,22.0,Mt,"measured (official estimate) 2025 livestock and poultry compound feed, excludes aquafeed",MAC-01; MAC-28,High,
feed_share_pig,ALL,ALL,0.553,share,measured 2024 split applied to 2025,MAC-28,High,
feed_share_poultry,ALL,ALL,0.409,share,measured 2024 split applied to 2025,MAC-28,High,
feed_share_other_livestock,ALL,ALL,0.037,share,measured 2024 split applied to 2025,MAC-28,High,
base_aquafeed_mt,ALL,ALL,6.5,Mt,estimate 2025 (USDA Post; method not disclosed),MAC-01,Medium,Unresolved against industry 3.9 to 4.8 Mt (MAC-06). USDA used because the 7.2 Mt soybean-meal feed use is also USDA. Industry value tested in sensitivity.
base_aquafeed_mt,SENS-LOW,ALL,4.35,Mt,estimate 2025: midpoint of industry range 3.9 to 4.8 Mt,MAC-06,Low,
base_aquafeed_mt,SENS-HIGH,ALL,6.5,Mt,same as base (one-sided test),MAC-01,Medium,
base_sbm_feed_use_mt,ALL,ALL,7.2,Mt,estimate 2025 (USDA PSD): soybean meal fed,MAC-04; MAC-01,Medium,Imports 5.70 Mt meal plus 1.48 Mt meal crushed from imported beans. Calibration target for soybean-meal inclusion.
base_maize_imports_mt,ALL,ALL,11.91,Mt,measured 2025 (customs),MAC-08,High,Used only as a calibration check.
base_maize_compound_feed_mt,ALL,ALL,10.9,Mt,"estimate 2025: USDA feed-ingredient table, corn imported 9.2 plus domestic 1.7",FS-23,Medium,
base_maize_feed_residual_mt,ALL,ALL,14.4,Mt,estimate MY2024/25 (USDA PSD): corn feed and residual use,MAC-01,Medium,The 3.5 Mt above compound-feed use is treated as on-farm (non-compound) feeding plus residual.
base_maize_production_mt,ALL,ALL,4.1,Mt,"estimate MY2025/26 (USDA Post), 810,000 ha",MAC-01,Medium,
base_other_meals_sbmeq_mt,ALL,ALL,2.43,Mt soybean-meal equivalent,"derived 2025: other oilseed meals 2.33 Mt (OECD protein-meal feed 9.53 minus soybean meal 7.2) at about 30% CP plus DDGS 1.55 Mt at 27% CP, converted to 46% CP",QNT-01; FS-23; MAC-04,Low,Definitions differ between OECD and USDA; order of magnitude only.
dressing_pork,ALL,ALL,0.723,carcass per live weight,"derived: OECD-FAO 2025 pigmeat production 3,895.6 kt carcass / NSO 5,389.2 kt live",QNT-01; MAC-14,Medium,Aligns our carcass basis with OECD-FAO.
dressing_poultry,ALL,ALL,0.7,carcass per live weight,assumption within edition 1.0 range 0.65 to 0.75,MAC-14; QNT-model,Low,"OECD-FAO poultry production (2,567 kt) is almost equal to NSO live weight (2,602 kt), so OECD may treat live weight as carcass. We do not follow that."
dressing_ruminant,ALL,ALL,0.515,carcass per live weight,derived: OECD-FAO 2025 beef production 321.5 kt / NSO beef plus buffalo 624.3 kt,QNT-01; MAC-12,Medium,
ssr_pork,ALL,ALL,0.961,production / consumption,"derived: OECD-FAO 2025 pigmeat production 3,895.6 / consumption 4,053.7",QNT-01,Medium,Held constant to 2050 in all scenarios.
ssr_poultry,ALL,ALL,0.875,production / consumption,"derived: OECD-FAO 2025 poultry production 2,567.1 / consumption 2,932.7",QNT-01,Medium,Held constant to 2050 in all scenarios.
ssr_ruminant,ALL,ALL,0.522,production / consumption,derived: OECD-FAO 2025 beef production 321.5 / consumption 615.5,QNT-01,Medium,Held constant to 2050 in all scenarios.
ssr_pork,SENS-LOW,2040,0.911,production / consumption,sensitivity: more meat imports (10 points lower by 2050),QNT-model,Low,
