actor_id,actor,audience,type,country_or_region,stated_interests,key_quote,vietnam_or_sea_focus,demand_relevance,source_ids,evidence_label,confidence,notes
AFN-A01,Coefficient Giving (Farm Animal Welfare fund; Alternative Protein R&D RFP),international,philanthropy (grantmaker),United States; global,"Funds alternative-protein R&D to close taste and price gaps: off-flavour reduction, fat alternatives, egg replacement, and characterising fish flavours in tilapia, milkfish, carp and catfish. Up to USD 30 million over two rounds (USD 0.1 to 1 million; USD 1 to 5 million), closed 10 August and 15 September 2026, decisions by 30 November and 31 December 2026. For-profits and international applicants eligible. Fund strategy includes movement building 'especially in emerging economies'. Also funded the Stanford restaurant displacement study.",Taste and price represent the biggest barriers to mainstream adoption,"No country named. Emerging economies are a stated priority for movement building. The fish species chosen are Asian aquaculture species, including catfish (pangasius is a catfish).","Medium. Asks R&D applicants for 'a credible pathway to industry uptake', so a Vietnamese applicant needs a named buyer. Demand evidence it funds is on displacement (restaurant data), which supports Part VI.",AFN-01; AFN-02; AFN-03; AFN-07,general,High,"Grants database could not be searched from here (HTTP 403), so Vietnamese grants are unverified. Part VI ch07 already covers this RFP as a supply-side grant."
AFN-A02,Nova Vista Foundation (Protein Innovation RFP),international,family foundation,United States; global,"USD 10 million RFP (grants USD 100,000 to 750,000 a year; phase 1 closed 15 September 2026; decisions late November or early December 2026) for policy (public R&D and commercialisation funding; fair, safe, fast novel-food pathways) and market shaping (public procurement of innovative protein products, advance market commitments, retailer and corporate protein-diversification commitments such as protein ratio targets, blended finance, prizes) plus experimental work (AI, open data).",Public procurement of innovative protein products specifically.,"Extra policy capacity sought in 'high-innovation Asian economies (including but not limited to Japan and South Korea), Germany at the national level, and the Nordics'. Vietnam not named.","High. Defines demand evidence as institutional decisions: goals must be 'outcomes in the world' with 'an identifiable decision-maker, a reason they might move, and a window'. Out of scope: direct R&D, culture change and consumer awareness campaigns, whole-food plant-based interventions, individual diet change, and 'work whose likely effect is to shift consumption from larger animals to smaller ones'.",AFN-04; AFN-05,general,High,The brief calls this the 'Nova Vista Foundation / Navigation Fund' RFP. The RFP text and announcement name only Nova Vista; we found no link to the Navigation Fund.
AFN-A03,The Navigation Fund,international,philanthropy (grantmaker),United States; global,"Farm animal welfare grants by invitation, three cycles a year: institutional impact (policies at food corporations, government and public institutions), movement power, target audiences, capacity building, new funding, innovation.",Grant applications are by invitation,"No region named on the grants page. No alternative-protein RFP found, which matches Part VI ch07.","Low to Medium. Institutional-policy focus could cover public meals, but no demand evidence standard is published.",AFN-06,general,Medium,
AFN-A04,The Good Food Institute (global),international,nonprofit field-builder and grantmaker,United States; global,"Open-access research grants (USD 27 million plus, 141 grants since 2019, 26 countries; closed in 2026, no reopening date) on organoleptic quality, cost and scale-up; 2025 round on fermentation-derived functionality and cell lines. Publishes State of the Industry market data. Advocates public R&D funding and fair labelling. Recommended by Giving Green as a top climate nonprofit.","focused on enhancing organoleptic properties, reducing costs, and scaling up alternative proteins",Global. Vietnam not named on the grants or State of the Industry pages. GFI's ecosystem database lists two Vietnamese companies (package ECO-22).,"Low for its grants (supply-side topics, no consumer research). Medium through the US and European retail data that Part VI already uses.",AFN-08; AFN-09; AFN-10; AFN-30,general,High,
AFN-A05,GFI APAC,international,nonprofit field-builder,Singapore; Asia-Pacific,"Regulatory pathways, public investment, talent. 2026 watch list: Korea, Chinese biomanufacturing, climate finance, jobs narrative, 'conventional meat enhanced with plant proteins' rolled out in foodservice first at price parity, and 'protein maximisation' positioning. Ran the Decoding Demand survey (2023, Vietnam n = 1,049) and the A*STAR blended-meat taste test.",Asia's first large-scale rollouts (of meat enhanced with plant proteins),"Singapore, Malaysia, Thailand, Philippines, China, Korea named. Vietnam not named in the 2025 report card; no team member listed for Vietnam.","High. Produces the consumer numbers funders quote for Vietnam, and is steering corporates towards blended meat, which Part VI identifies as the entry route.",AFN-11; AFN-12; AFN-13,VN-adjacent,Medium,
AFN-A06,GFI India with the Observer Research Foundation (state feeding schemes roundtable),international,nonprofit field-builder and think tank,India,"Building plant-based and biomass-fermented proteins from local pulses, millets, oilseed meals and broken grains into PM-POSHAN school meals and ICDS take-home rations; protein quality, safety and allergenicity studies, community acceptability trials, shared processing and testing infrastructure. FSSAI, the Department of Biotechnology, the World Bank and WFP took part.",much of the school-feeding budget operates at under 10 rupees per student each day,India only. A transfer model for Vietnam's upland child protein gap (Part VI ch21.2).,"High. Treats a public feeding scheme as a protein-quality and cost buyer, not a meat-displacement channel.",AFN-14,VN-adjacent,Medium,Trade press report of the roundtable; the organisers' own summary was not read.
AFN-A07,Bezos Earth Fund and the Bezos Centre for Sustainable Protein at NUS,research,philanthropy and university research centre,Singapore; East and Southeast Asia,"USD 30 million centre (September 2024) on microalgae and biomass fermentation, cultivated and plant-based proteins and hybrids; platforms for nutrition in Asian populations, safety and consumer acceptance. With Enterprise Singapore, up to SGD 1 million per growth-stage startup at TRL 7 to 9 (January 2026 call), for 'technical and commercial viability'. Example project: tofu by-product into protein.","Asia is pivotal to the future of sustainable proteins, and Singapore is leading the way.",Targets East and Southeast Asia's 2.3 billion consumers. Vietnam not named.,Medium. Runs consumer-acceptance research and wants products matching meat 'in both taste and price'; a natural partner for Vietnamese sensory and label tests.,AFN-15; AFN-16; AFN-17,VN-adjacent,Medium,
AFN-A08,ProVeg International and ProVeg Incubator,investors,accelerator and advocacy NGO,Germany; global,"Up to USD 300,000 including USD 75,000 in kind for early-stage plant-based, fermentation and cultivated startups; 100+ startups supported.",100+ startups transforming the food system,No Asia programme or Vietnamese portfolio company found. Part VI ch07 and app-m list it as a regional option.,Low. No published demand evidence standard.,AFN-48,general,Medium,
AFN-A09,Asia Research and Engagement (ARE),investors,investor-backed engagement NGO,"Asia (Singapore, Hong Kong base)","Asia Protein Buyers 100 benchmark (February 2026): 100 listed retailers, manufacturers, restaurant chains and hotel groups in 12 markets, 40 indicators. Protein diversification indicators: alternative proteins in strategy, 2030 sourcing targets, disclosure of alternative protein as a share of protein sales, reporting on the GFI and FAIRR framework. Asia Protein Transition Platform with 40+ companies and investor signatories.","Diversify further with alternative proteins, setting a sales target to help drive uptake and scale.","Vietnam included: five buyers assessed (Vinamilk, Masan, Vinh Hoan, Minh Phu, Nam Viet); Vinamilk in Tier 3. Platform engagement named in China, Thailand, India, Japan and Singapore, not Vietnam.",High. Defines corporate demand evidence as targets and disclosed volumes. Protein diversification averaged 7.4%; 48 of 100 buyers offer plant-protein products; only 2 publish sourcing targets and report volumes.,AFN-18; AFN-19,VN-direct,High,
AFN-A10,FAIRR Initiative,investors,investor network,United Kingdom; global,"Protein diversification engagement (phase 2 ended October 2025; 73 investors with USD 11.5 trillion; 20 large manufacturers and retailers, none Asian). Coller FAIRR Protein Producer Index scores listed producers on alternative proteins.",(Vinamilk) lacks a timebound target for protein diversification,"Vinamilk assessed in the 2024 index: rank 34 of 60, alternative proteins score 45 of 100, plant-based 1.30% of its product range.","Medium. Investor pressure through disclosure; Asian coverage is via the producer index, not the engagement.",AFN-20; AFN-21,VN-direct,High,
