record_id,ingredient,price_basis,origin,period,price_usd_per_kg,price_vnd_per_kg_at_26000,protein_share_assumed,price_usd_per_kg_protein,source_ids,evidence_label,confidence,demand_evidence_type,notes
IPR-001,"HS 210610 protein concentrates and textured protein (TVP, SPC, some SPI)","Export unit value to Vietnam (FOB, exporter-reported quantity)",China,2024,1.31,34060,0.65,2.02,BUY-02,VN-direct,Medium,revealed,"10,029 t. Mixed products; protein share assumed 0.65 for a TVP or SPC mix (assumption)."
IPR-002,"HS 210610 protein concentrates and textured protein (TVP, SPC, some SPI)",Export unit value to Vietnam (FOB),China,2025,1.24,32240,0.65,1.91,BUY-02,VN-direct,Medium,revealed,"10,201 t. Protein share assumed 0.65."
IPR-003,HS 210610 protein concentrates and textured protein,Export unit value to Vietnam (FOB),India,2025,0.98,25480,0.55,1.78,BUY-02,VN-direct,Medium,revealed,"2,372 t. India mainly exports soy chunks and concentrates (not verified for these shipments). Protein share assumed 0.55."
IPR-004,HS 210610 protein concentrates and textured protein,Export unit value to Vietnam (FOB),Serbia,2025,0.85,22100,0.65,1.31,BUY-02,VN-direct,Medium,revealed,"259 t. An Nhien labels declare Serbian soy protein concentrate (supply study, FORM-01)."
IPR-005,HS 210610 protein concentrates and textured protein,Export unit value to Vietnam (FOB),Other Asia nes (Taiwan),2024,2.95,76700,,,BUY-02,VN-direct,Medium,revealed,"1,541 t. Product mix unknown."
IPR-006,HS 210610 protein-based preparations,Export unit value to Vietnam (FOB),USA,2024,19.47,506220,,,BUY-02,VN-direct,Medium,revealed,"679 t. Unit value consistent with whey-based supplement premixes, not TVP (inference)."
IPR-007,HS 350400 other protein substances,Export unit value to Vietnam (FOB),China,2024,1.03,26780,,,BUY-02,VN-direct,Medium,revealed,"25,267 t. Too low for food-grade soy or pea isolate; mix probably includes feed-grade proteins (not verified)."
IPR-008,HS 350400 other protein substances,Export unit value to Vietnam (FOB),China,2025,0.89,23140,,,BUY-02,VN-direct,Medium,revealed,"24,363 t. As above."
IPR-009,HS 350400 other protein substances,Export unit value to Vietnam (FOB),USA,2024,8.16,212160,,,BUY-02,VN-direct,Medium,revealed,779 t. Likely specialty proteins or hydrolysates (not verified).
IPR-010,HS 350400 other protein substances,Export unit value to Vietnam (FOB),Spain,2024,3.94,102440,,,BUY-02,VN-direct,Medium,revealed,"1,003 t. Product mix unknown."
IPR-011,Wheat gluten (HS 110900),Export unit value to Vietnam (FOB),China,2024,1.21,31460,0.75,1.61,BUY-02,VN-direct,High,revealed,"15,834 t. Vital gluten typically 75 to 80% protein (assumption 0.75)."
IPR-012,Wheat gluten (HS 110900),Export unit value to Vietnam (FOB),China,2025,1.31,34060,0.75,1.75,BUY-02,VN-direct,High,revealed,"19,411 t."
IPR-013,Wheat gluten (HS 110900),Export unit value to Vietnam (FOB),Belgium,2025,1.25,32500,0.75,1.67,BUY-02,VN-direct,High,revealed,"2,017 t."
