term_id,category,term_en,term_vi,abbreviation,definition_en,definition_vi
GL-001,Protein and nutrition,alternative protein,protein thay thế,,"Protein for food or feed made from plants, microorganisms, fungi, algae, insects or cultivated cells rather than conventional livestock and fish.","Protein cho thực phẩm hoặc thức ăn chăn nuôi làm từ thực vật, vi sinh vật, nấm, tảo, côn trùng hoặc tế bào nuôi cấy thay vì từ chăn nuôi và đánh bắt truyền thống."
GL-002,Protein and nutrition,crude protein,protein thô (đạm thô),CP,Nitrogen content multiplied by 6.25; includes non-protein nitrogen such as nucleic acids.,"Hàm lượng nitơ nhân 6,25; bao gồm cả nitơ phi protein như axit nucleic."
GL-003,Protein and nutrition,essential amino acid,axit amin thiết yếu,,An amino acid the body cannot make and must get from food.,"Axit amin cơ thể không tự tổng hợp được, phải lấy từ thức ăn."
GL-004,Protein and nutrition,digestibility,độ tiêu hóa,,The share of a nutrient that is absorbed.,Tỷ lệ chất dinh dưỡng được hấp thu.
GL-005,Protein and nutrition,DIAAS,chỉ số DIAAS (điểm axit amin thiết yếu tiêu hóa được),DIAAS,"Digestible Indispensable Amino Acid Score, the FAO-recommended measure of protein quality.","Thang đo chất lượng protein do FAO khuyến nghị, dựa trên độ tiêu hóa của từng axit amin thiết yếu."
GL-006,Protein and nutrition,PDCAAS,chỉ số PDCAAS,PDCAAS,"Protein Digestibility Corrected Amino Acid Score, an older protein-quality measure capped at 1.0.","Thang đo chất lượng protein cũ hơn, hiệu chỉnh theo độ tiêu hóa, tối đa bằng 1,0."
GL-007,Protein and nutrition,protein isolate,protein phân lập,,A protein ingredient of about 90% protein or more.,Nguyên liệu có hàm lượng protein khoảng 90% trở lên.
GL-008,Protein and nutrition,protein concentrate,protein cô đặc,,A protein ingredient of about 60 to 80% protein.,Nguyên liệu có hàm lượng protein khoảng 60 đến 80%.
GL-009,Protein and nutrition,soy protein isolate,protein đậu nành phân lập,SPI,Isolated soy protein used in processed foods.,Protein đậu nành tinh chế dùng trong thực phẩm chế biến.
GL-010,Protein and nutrition,soy protein concentrate,protein đậu nành cô đặc,SPC,Concentrated soy protein used in food and aquafeed.,Protein đậu nành cô đặc dùng trong thực phẩm và thức ăn thủy sản.
GL-011,Protein and nutrition,textured vegetable protein,"protein thực vật tạo cấu trúc (thường gọi là đạm đậu nành, thịt chay khô)",TVP,"Extruded plant protein with a fibrous, meat-like texture, sold dry as granules, chunks or slices.","Đạm thực vật được ép đùn tạo thớ giống thịt, bán ở dạng khô như hạt, miếng hoặc lát."
