play_id,name,market_pull_v0_2,market_pull_demand_view,change,demand_evidence,demand_evidence_type,first_buyers,demand_kill_test,source_ids,note_v0_4
T1,Domestic textured plant protein,4,5,up (reason and thesis replaced in v0.4),"Revealed: named chay makers buy imported textured soy (C1: several named buyers already buy the imported equivalent); China-origin textured protein (HS 2106.10) grew 54% from 2019 to 2025, to 10,201 t, and textured-type imports from China, India and Serbia were 12,832 t in 2025, the pool a soy extrusion line can serve; the near tripling of all plant-protein imports is mostly HS 3504 at about USD 1 per kg; small online chay shops sold about 40,700 kg of dry pieces on Lazada. A soy line addresses about 30% of the R1 pool by tonnage and about a sixth of benchmark-path delivered protein in 2035 (our calculation). Clean negative: export origin rules create no customer for domestic textured soy. Thesis (v0.4): an import-substitution plant best owned by a chay maker, co-packer or distributor and financed with debt and trade finance, not venture equity; Chinese dry lines are listed at USD 11,000 to 100,000 (installed USD 0.3 to 1.4 million; working capital USD 0.6 to 3.5 million); no tariff shelter (0% under ACFTA and RCEP)",revealed; inferred,"An Nhien, Au Lac, Thoai An, LC Foods, SG Food; Cholimex, CJ Cau Tre, Vissan chay lines; GN Foods (Co.op Select co-packer); Panko and other dry chay-piece makers selling to kitchens; online dry-piece shops (Tam Phat, Thien Duc, An Tue, Khanh An); distributors (Brenntag, VMC, TDGIMEX) for the long tail; caterers through HoReCa distributors","T1 fails if (a) food-grade, low-temperature defatted soy flour (non-GMO where buyers require it) cannot be delivered below about USD 700 to 940 per t for a 1 t/h line, or USD 590 to 900 per t for a 0.5 t/h line, at 70% utilisation, with Chinese textured protein landing at USD 1.29 to 1.38 per kg (our calculation for a 15% margin at 0% duty); (b) fewer than three buyers sign conditional orders totalling at least 2,000 t a year (a 0.5 t/h line at 50%); or (c) India-origin textured soy (USD 0.98 per kg FOB in 2025) becomes the reference price. Three chay makers declining a trial on quality also fails it",BUY-02; FORM-01; TIC-12; TIC-13; TIC-14; FTR-32; ORG-01; MKT-03,"Proposed supply-score changes, recorded as text only (plays.csv keeps the v0.2 scores): capital efficiency 4 to 5 (Chinese dry lines listed at USD 11,000 to 100,000; installed USD 0.3 to 1.4 million) and Vietnam advantage 3 to 2 (no tariff shelter; soy flour comes from the countries that export the finished product). Net zero on the balanced score: T1 stays first in the demand view at 3.95, a lead of 0.05 over the cassava sugar hub (T4), and stays first under the investor, startup and manufacturer presets; a one-point fall in market pull or defensibility would return first place to T4 (our calculation)"
T2,Functional microbial feed ingredients for shrimp and pangasius,4,4,unchanged (evidence replaced in v0.4),"Revealed: Vietnam imported about 9,200 t of inactive yeast and dead single-cell organisms (HS 2102.20) in 2025, USD 13.5 million, 2.4 times 2019; 95% at about USD 1.1 per kg; Vietnam also exported 8,200 t at USD 1.39 per kg. Standards (ASC v1.2, BAP 3.3, GLOBALG.A.P.) neither require nor reward microbial protein; from 1 May 2028 ASC farm audits need feed from an ASC-certified mill (15 Vietnamese mills certified); Nutreco reached 0.6% novel ingredients against a 5 to 10% target; no named mill has published a microbial purchase",revealed; stated,"15 ASC-certified mills and 6 in audit (September 2026): Skretting, De Heus, C.P. Vietnam, Grobest, Uni-President, Sheng Long, BioMar Viet Uc, Feed One (Vinh Hoan), Nam Viet, GreenFeed; importers of feed yeast","Head-to-head against the commodity yeast mills already buy: two trials at 1 to 2% inclusion fail to show a gain worth the price gap over commodity yeast (about 1.2 to 1.8% of shrimp-feed cost at USD 2.2 per kg), or the delivered price stays above about USD 1.1 per kg without such a gain",FBA-17; FBA-19; FBA-01; FBA-05; FBA-07; FBA-04; FBA-13,"Proposed supply-score change, recorded as text only (plays.csv keeps the v0.2 scores): defensibility 3 to 2, because mills already buy commodity yeast at about USD 1.1 per kg and Vietnam already makes and exports it (weak evidence). Under the balanced preset this would drop T2 from joint third (3.45) to 3.35 and leave the shared pilot and tolling play (T5) sole third (our calculation)"
T3,Bulk microbial protein for fishmeal replacement,3,3,unchanged,Same export pull as T2 on marine ingredients; price-led; the insect-meal benchmark already contracted,revealed; inferred,Shrimp feed makers,As in v0.2,EXP-29; EXP-50,
T4,Cassava starch to fermentation sugar hub,2,2,unchanged,Export demand is for starch (93.5% to China); Part III adds no new protein demand for this play,revealed,Domestic and foreign fermenters,As in v0.2,EXP-39,
T5,Shared pilot and tolling fermentation,2,2,unchanged,An enabler; Part III adds a need for application and sensory trials that a pilot line would supply,inferred,Startups under T7 and T9; research groups,As in v0.2,NOV-37,
T6,Duckweed on aquaculture effluent for feed,2,2,unchanged,Not examined by the demand streams,inferred,Integrated farms,As in v0.2,,
T7,"High-value, low-dose precision-fermentation ingredients",2,2,"unchanged, conditional","Buyers of the target ingredient exist (lactoferrin formulas from three firms), but they market non-GMO and a GMO label costs a large premium in Vietnam; Asian demand is business to business",revealed; tested,"VitaDairy, Nutifood, Vinamilk specialty nutrition; regional ingredient firms","Purified precision-fermented proteins must carry a GMO declaration on consumer products at the doses buyers use (the label applies only above 5% of ingredients and where the gene or its product is detectable), or buyers cannot keep non-GMO claims",NOV-59; NOV-60; NOV-61; NOV-08; NOV-62; LBL-10,
T8,Cultivated seafood research,1,1,unchanged,"Revealed Asian sales are tiny and Singapore deprioritised cultivated meat; Avant's Singapore unit was wound up in January 2026 and Umami Bioworks sells cultivated seafood only as pet food and skincare inputs; Vietnamese seafood exporters hold options, not demand",revealed,None in this decade; seafood exporters as partners,As in v0.2,NOV-10; NOV-14; NOV-22; NOV-74; AIS-34; AIS-35,
T9,Koji and fungal foods on food-grade side streams,2,2,"unchanged (3 only if a processor pilots a fungal extender priced above hydrated-soy parity, or in a soy-free or đạm nấm line)","Fermented reads as positive and mushrooms are a culinary bridge; the likely route is a hybrid extender or chay ingredient sold to makers; readers criticise additive-heavy mushroom mock meat; no processor interest found. Soy extension already pays at every hog price since 2019, so the benchmark a fungal extender must beat is hydrated soy (about USD 2.5 to 2.7 per kg of protein), not lean meat; độn (filler) is a fraud word for hidden starch, while declared soy protein in branded sausages draws no observed penalty",revealed; stated,Chay makers; meat processors for hybrids; bakery and seasoning makers,"At the replacement level that gives the same saving as soy, a fungal blend in industrial xúc xích or a coarse filling scores below the processor's own soy-extended formula in a blind test, or no processor will pay above hydrated-soy parity (about USD 1.2 per kg dry at 45% protein)",NOV-63; NOV-65; BUY-05; HXE-01; HXE-10; DIE-25; TRU-02; TRU-03,
T10,Mung bean and rice protein for plant drinks,3,4,up,"Revealed: Vinamilk already buys pea protein for a soy-free high-protein nut milk, which sells as a premium niche (about 70,300 L at Vinamilk's Lazada store, about one-eighth of the standard line); the best plant-milk SKU sells 60 to 79% of the best dairy SKU's litres on Lazada and Tiki; plant milk is the only modern plant category at scale; noodle makers buy pulse starch. Constraints: host drinks above 5 g total sugar per 100 ml may pay 8% excise from 2027 (10% from 2028) while dairy is exempt, and rice drinks are cereal drinks, the clearest taxable case; pea protein enters duty-free from China, France and Canada, so the isolate band has no tariff shelter; no commitment pull (plant-based is 1.30% of Vinamilk's range, with no target)",revealed,"Vinamilk, Vinasoy, Nutifood, TH; Acecook for starch",Cost cannot reach the band between Chinese and Western pea protein (which enters at 0%); UHT stability fails; or host drinks cannot be made at or below 5 g total sugar per 100 ml once plant milks are ruled inside the sugary-drink excise,BUY-16; BUY-22; CON-37; CON-26; FTR-01; FTR-02; FTR-32; MKT-03; AFN-21,
