record_id,indicator,vietnam_item_wording,subgroup,value,lower_95_ci,upper_95_ci,unit,n,fieldwork,derived,source_ids,evidence_label,confidence,demand_evidence_type,notes
DQV-001,Pulses,"Q4: dried beans, soybeans, tofu, soymilk, or bean flour (đậu khô, đậu nành, đậu phụ, sữa đậu nành hoặc bột đậu)",All,40.01,35.22,44.91,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56. Includes tofu and soy milk: this is the daily reach of the incumbent soy foods."
DQV-002,Pulses,"Q4: dried beans, soybeans, tofu, soymilk, or bean flour (đậu khô, đậu nành, đậu phụ, sữa đậu nành hoặc bột đậu)",Female,43.73,36.74,50.98,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56. Includes tofu and soy milk: this is the daily reach of the incumbent soy foods."
DQV-003,Pulses,"Q4: dried beans, soybeans, tofu, soymilk, or bean flour (đậu khô, đậu nành, đậu phụ, sữa đậu nành hoặc bột đậu)",Male,36.28,30.09,42.95,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56. Includes tofu and soy milk: this is the daily reach of the incumbent soy foods."
DQV-004,Pulses,"Q4: dried beans, soybeans, tofu, soymilk, or bean flour (đậu khô, đậu nành, đậu phụ, sữa đậu nành hoặc bột đậu)",Urban,40.45,34.9,46.26,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56. Includes tofu and soy milk: this is the daily reach of the incumbent soy foods."
DQV-005,Pulses,"Q4: dried beans, soybeans, tofu, soymilk, or bean flour (đậu khô, đậu nành, đậu phụ, sữa đậu nành hoặc bột đậu)",Rural,39.15,30.56,48.48,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56. Includes tofu and soy milk: this is the daily reach of the incumbent soy foods."
DQV-006,Nuts or seeds,"Q21: peanuts, cashews, walnuts, almonds, macadamia nuts, watermelon seeds, or sunflower seeds",All,21.95,18.24,25.9,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-007,Nuts or seeds,"Q21: peanuts, cashews, walnuts, almonds, macadamia nuts, watermelon seeds, or sunflower seeds",Female,22.69,17.66,28.66,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-008,Nuts or seeds,"Q21: peanuts, cashews, walnuts, almonds, macadamia nuts, watermelon seeds, or sunflower seeds",Male,21.2,16.29,27.11,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-009,Nuts or seeds,"Q21: peanuts, cashews, walnuts, almonds, macadamia nuts, watermelon seeds, or sunflower seeds",Urban,24.47,20.06,29.49,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-010,Nuts or seeds,"Q21: peanuts, cashews, walnuts, almonds, macadamia nuts, watermelon seeds, or sunflower seeds",Rural,16.93,11.25,24.69,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
