record_id,country,novel_food_framework,framework_year,authority,covers_pf,covers_biomass,covers_cultivated,approvals_to_date_summary,public_funding_summary,open_facilities_summary,relevance_to_vn,source_ids,evidence_label,confidence,notes
CTY-001,Singapore,Novel food pre-market approval framework; now under the Food Safety and Security Act (FSSA),2019 (framework); FSSA novel food provisions effective 28 Nov 2025,Singapore Food Agency (SFA),yes,yes,yes,"18 novel foods on SFA list dated 14 Aug 2026: 6 cultivated (Eat Just x2, Vow quail, Vital Meat chicken, Supreme SAS/Parima duck, Aleph Farms beef), 6 fungal/bacterial biomass (Nature's Fynd, Solar Foods Solein, Protein Brewery, Better Meat Co, Infinite Roots, Ultimeat), 2 algae (Triton), 3 precision-fermented (Remilk beta-lactoglobulin, 3'-SL, 6'-SL), 1 chemical (Urolithin A)","Singapore Food Story R&D Programme S$144M (from 2019); later S$165M programme (secondary); S$42M to 11 future food projects (2025). Nov 2025 'Singapore Food Story 2' dropped the 30 by 30 goal; new 2035 targets (20% fibre, 30% protein = eggs and seafood) EXCLUDE alternative protein","ScaleUp Bio (Tuas, up to 10,000 L, SFA food manufacturing licence May 2024; now ADM + Fusionopolis Ventures); A*STAR SIFBI/FTIC joint lab 100 L; Esco Aster (SFA licence for cultured cells 2021, now mostly cell therapy); Cell AgriTech (Aleph CDMO)","Regulatory reference model and nearest contract manufacturing option; SFA approval is the de facto regional 'passport' but does not give market access in Vietnam. Singapore is retreating from local production, which opens manufacturing roles for lower-cost neighbours",RGN-04; RGN-05; RGN-08; RGN-09; RGN-11; RGN-13; RGN-15; RGN-17; RGN-19; RGN-22,VN-adjacent,High,"Timeline claimed ~9-12 months once dossier complete (secondary, RGN-17). Fees not published on SFA overview page. No formal sandbox found; pre-submission support via FRESH hub (RGN-44)."
CTY-002,Thailand,"Novel food under Thai FDA (MOPH notification on novel food, 2016, per secondary); cultivated meat assessment route via BIOTEC as designated Safety Assessment Unit",2016 (novel food); cultivated meat draft framework sent to Thai FDA Jan 2024,Thai FDA (MOPH); BIOTEC/NSTDA as safety assessment unit,yes,yes,under development (dossiers accepted),"No cultivated or precision-fermentation approval found as of Sep 2026. Aleph Farms filed first cultivated meat dossier (press release 5 Dec 2024), still pending","BCG model; NXPO Biotechnology Industry Development Framework 2026-2035 (B.E. 2569-2578): 500 M baht/yr for 10 years for synthetic biology research, GMP precision fermentation pilot plant, CDMO network, 'future food and alternative protein' as one of 4 sub-industries; cites the GFI/Hawkwood study. BOI incentives for alternative protein (amounts not verified)","EECi Biorefinery Pilot Plant (Rayong; 12 fermenters incl. 2 x 15,000 L; contract manufacturing offered; food-grade not stated); Food Innopolis food pilot plant (Pathum Thani); BBGI biotech plant (with Fermbox Bio) reported terminated 22 Sep 2026 (SET notice title only)","Most direct competitor for fermentation investment: world-class sugar and cassava, similar cost base, a working (if slow) novel food route, and a state framework that explicitly targets the GFI/Hawkwood ranking. Also a partner: EECi pilot capacity is the closest large pilot plant to Vietnam",RGN-01; RGN-19; RGN-32; RGN-35; RGN-36; RGN-37; RGN-38,VN-adjacent,Medium,"Hawkwood scored Thailand 50 on regulatory readiness (framework, no fermentation approval). Primary text of Thai notifications not read this wave. Hawkwood scores: sugar 100, capex 81, utilities 84, labour 99 (USD 431/month), talent 36, business 74, regulation 50."
CTY-003,Malaysia,Novel food provision in Food Regulations 1985 (Regulation 3A per GFI) administered by MOH Food Safety and Quality Division; no cultivated-meat-specific guidance,1985 regulations (novel food provision date not verified),"Ministry of Health, Food Safety and Quality Division (FSQD)","yes (as modern biotechnology food, per GFI)",yes (per GFI),no specific pathway,No novel protein approvals found. Dec 2025: national fatwa that cultivated meat can be halal under conditions (first Muslim-majority country),National Biotechnology Policy 2.0 (2022-2030) names cultivated meat/fish; MIDA tax incentives (amounts not verified),Cell AgriTech capacity in Penang cited by Aleph Farms (Aug 2026) for regional supply; no verified open CDMO,Halal ruling matters for Vietnam's halal export ambitions; Penang is emerging as a low-cost regional cultivated-meat production node,RGN-01; RGN-19; RGN-20; RGN-21; RGN-30,VN-adjacent,Medium,DISAGREEMENT: Hawkwood (RGN-01) scores Malaysia 0 'no novel food framework'; GFI State of Play (RGN-19) describes a novel food provision. We take the view that a general novel food provision exists but no fermentation or cultivated guidance; FSQD site unreachable this wave.
CTY-004,Indonesia,No specific novel food category; alternative proteins handled as food ingredients under BPOM food standardisation rules,n/a,BPOM (food and drug agency); Ministry of Agriculture,as 'food ingredient' (per GFI),as 'food ingredient' (per GFI),framework under development,No approvals found,Making Indonesia 4.0; investment incentives (no alt-protein amounts found),None verified,Large halal market and competitor for feed and aquafeed ingredients; similar regulatory gap to Vietnam,RGN-01; RGN-19,VN-adjacent,Low,"Hawkwood regulatory readiness 0. 2025 GM labelling rule noted by GFI. Hawkwood cost scores equal or better than Vietnam: capex 100, utilities 99, labour 100 (USD 350/month); sugar 14 (imports 5,000 kt); talent 18; business 29."
CTY-005,Philippines,No novel food framework or guidance found,n/a,FDA Philippines,not established,not established,no,No approvals found,No alt-protein programme amounts found,None verified,Peer with same regulatory gap; destination market for Chinese protein concentrates (China exported USD 26.9M of HS 2106.10 to PH in 2024),RGN-01; RGN-49,VN-adjacent,Low,Hawkwood regulatory readiness 0; Ease of Doing Business index lowest (0) of the nine.
CTY-006,China,No dedicated cultivated meat framework; new food raw material approvals by National Health Commission (NHC) with CFSA assessment; formalised approval process for GM-microbe-derived ingredients announced 2024 (per GFI report); cultivated framework expected 'as soon as late 2026',"2024 (process formalised, secondary); cultivated pending",National Health Commission; China National Center for Food Safety Risk Assessment (CFSA); MARA for feed,yes (case by case),yes,not yet,Mycoprotein (Fushine Biotech Fusarium venenatum) and yeast protein (Angel Yeast) approved as new food raw materials (dates not verified); GFI says first mycoprotein approval issued in 2025. Feed: Clostridium autoethanogenum protein (steel-mill gas SCP) used commercially in feed trials,"Cultivated meat in MARA 14th FYP agriculture plan (2021); MARA 2021 plan to reduce corn and soybean meal in feed names single-cell protein; 15th FYP (2026-2030) preparatory text: 'actively develop synthetic biology and prudently advance industrialisation of new types of food'; ~USD 1 bn SDIC investment in biotech facilities (2025, per GFI)","Pharma CDMOs repurposed for food: Cabio Biotech (Nourish Ingredients partner), Fushine Biotech (mycoprotein CDMO, 1,200 t to 20,000 t), JSPC (Nutrition from Water microalgae), More Meat/Guangzhou Shuangqiao 20,000 t mycoprotein; foreign clients accepted; IP split: client keeps strain, CDMO may own process improvements",Largest buyer of Vietnam's cassava starch and chips; largest source of Vietnam's protein-concentrate imports; the scale competitor that sets the price any Vietnamese microbial protein must beat,RGN-17; RGN-20; RGN-23; RGN-24; RGN-25; RGN-27; RGN-43; RGN-56; RGN-57,general,Medium,'China has 70% of world fermentation capacity' is flagged as unverifiable even by the GFI report author. Gas/methanol SCP plant capacities not verified this wave.
CTY-007,South Korea,Temporary standards and specifications for food ingredients (includes cell and microbial culture ingredients); Food Tech Industry Promotion Act,"May 2023 (Enforcement Rule); Feb 2024 (temporary standards revised, applications open); Act enacted Dec 2024, in force Dec 2025",Ministry of Food and Drug Safety (MFDS); MAFRA for industry promotion,yes,yes,yes (applications accepted since Feb 2024),No cultivated meat approval found as of Sep 2026 (applications reported),"Food Tech Industry Promotion Act (MAFRA support, startups, facilities); Gyeongbuk cell-cultured food Regulation-Free Special Zone (R&D and demonstration, no sales); Uiseong cultivated meat research centre KRW 14.5 bn (~USD 10M), 2,660 m2, opening 2027; 2021 Fund of Funds USD 70.3M incl. USD 13.5M Green Bio Fund","Cell Culture Industry Support Center (Gyeongbuk, 2023); corporate capacity (CJ CheilJedang, Daesang) not verified as open CDMO",Model for a law-plus-zone approach Vietnam could copy; Korean food majors (CJ) already make do chay and processed food in Vietnam,RGN-19; RGN-20; RGN-21; RGN-22; RGN-34; RGN-43,VN-adjacent,Medium,"MFDS fee reported KRW 45 M (~USD 34,000) and review up to 270 working days (secondary, Feb 2024). GFI calls Korea APAC's largest cultivated startup ecosystem (Apr 2026)."
CTY-008,Japan,No dedicated novel food law; Food Sanitation Act; cultivated meat safety checkpoints drafted,Draft safety checkpoints presented 28 May 2026,Consumer Affairs Agency (food standards since Apr 2024); Food Safety Commission (risk assessment),case by case,case by case,guidance in draft,No cultivated or novel fermentation protein approval found,"MAFF large-scale demonstration projects for microbial protein since FY2023 (amount not found); Basic Plan for Food, Agriculture and Rural Areas (Apr 2025); Integrated Innovation Strategy 2025; METI/NEDO grant USD 2.2M to IntegriCulture (2020)",None verified as open to third parties,Source of corporate partners and capital (Ajinomoto partners Solar Foods; Ajinomoto has large fermentation plants in Vietnam),RGN-18; RGN-19; RGN-22; RGN-33; RGN-40,VN-adjacent,Medium,
CTY-009,India,Food Safety and Standards (Approval of Non-Specified Food and Food Ingredients) Regulations,2017,FSSAI,yes,yes,not addressed,"Per GFI India: approvals for Perfect Day whey protein, Nature's Fynd Fy protein, an algae ingredient (Reliance) and a mycoprotein; dates not verified",BioE3 policy (2024) with 'smart proteins' theme (not verified this wave),Fermbox Bio (Bangalore) precision fermentation manufacturer,Competitor for low-cost fermentation contract manufacturing; limited direct trade link,RGN-17; RGN-39,general,Low,Brief only.
CTY-010,Australia/New Zealand,"Food Standards Code, Standards 1.1.1 and 1.5.1 (novel foods); cell-cultured food provisions (Standard 1.5.4, 3.4.1, Schedule 25A)",Amendment for cultivated food 2025,FSANZ,yes,general rules,yes,Vow cultured quail approved by FSANZ (7 Apr 2025; in force mid-2025); first ANZ cultivated approval,CSIRO Future Protein Mission AU$150M across three missions (2021); AU$113M plant protein facilities South Australia (2022); Industry Growth Programme grants AU$50k-5M,"Vow production line reported 22,000 L (location not verified)","Top feedstock and regulatory scores in Hawkwood study; reference point, weak direct link to Vietnam",RGN-01; RGN-18; RGN-19; RGN-22; RGN-28,general,Medium,"Safety assessment 'at least 14 months' (secondary). Hawkwood scores: sugar 60, capex 0, utilities 13, labour 0, talent 50, business 79, regulation 100."
