record_id,protein_source,price_basis,vnd_per_100g_protein,vnd_per_25g_protein,diaas_range_used,vnd_per_25g_diaas_adjusted_protein,zinc_mg_per_100g_protein,food_needed_for_lunch_zinc_share_age_6_to_7,vnd_for_lunch_zinc_share_age_6_to_7,source_ids,evidence_label,confidence,demand_evidence_type,notes
NQR-C01,"Textured soy ingredient, Vietnamese ex-factory estimate",ex-factory (ch09 stack B),"3,700 to 10,700","925 to 2,675",65 to 97,"954 to 4,115",5.02,68 to 182 g dry (not a feasible portion),"1,238 to 9,548",PMR-C09; FORM-05; FORM-06; DIE-12; NQR-05,VN-direct,Low,inferred,"Ingredient only: oil, seasoning and labour excluded (as in wave 7 L1)."
NQR-C02,Textured soy at TPP-01 price target,landed Chinese price target,"4,940","1,235",65 to 97,"1,273 to 1,900",5.02,as above,as above,BUY-02; NQR-05,VN-direct,Low,inferred,"USD converted at VND 26,000 (wave 7 L1)."
NQR-C03,"Zinc-fortified textured soy dish base (40 g dry, about 19.6 g protein, plus 3 mg zinc)",ex-factory ingredient plus fortificant,"3,700 to 10,700 plus fortificant","925 to 2,675 plus fortificant",65 to 97,"954 to 4,115 plus fortificant",20.3 (with 3 mg added per 19.6 g protein),40 g dry (one serving),"725 to 2,097 plus fortificant",DIE-12; NQR-05; NQR-22,VN-adjacent,Low,inferred,"Absorbed zinc 0.60 to 1.20 mg at 15 to 30% absorption, above the 0.50 to 0.67 mg lunch share. Fortificant price not retrieved; the whole multi-micronutrient biscuit in the Vietnamese school trial cost under USD 0.08 (about VND 2,080) per serving (NQR-22)."
NQR-C04,"Tofu, household average",household unit value (VHLSS 2024),"19,600","4,900",64 to 98,"5,000 to 7,656",7.34,210 to 560 g (not a feasible portion),"4,493 to 11,981",DIE-05; DIE-12; APR-04; NQR-05; NQR-09,VN-direct,Low,inferred,
NQR-C05,"Tofu, supermarket",retail (WinMart),"30,000","7,500",64 to 98,"7,653 to 11,719",7.34,210 to 560 g,"6,878 to 18,340",DIE-23; DIE-12; NQR-05; NQR-09,VN-direct,Medium,revealed,
NQR-C06,"Tofu, kitchen platform",B2B (Kamereo),"36,030 to 47,697","9,008 to 11,924",64 to 98,"9,191 to 18,632",7.34,210 to 560 g,,CPC-12; NQR-05; NQR-09,VN-direct,Low,revealed,
NQR-C07,Dry soy and wheat pieces for caterers,B2B (Kamereo),"17,795 to 25,328","4,449 to 6,332",41 to 97,"4,586 to 15,444",,,,CPC-12; FORM-01; NQR-10; NQR-05,VN-direct,Low,revealed,Protein content borrowed from similar labels (wave 7 L4).
NQR-C08,"Mung beans, dry",retail,"36,900","9,225",69 to 86,"10,727 to 13,370",4.70,,,DIE-20; SCI-41; SCI-42,VN-direct,Medium,revealed,
NQR-C09,Hen eggs,retail (promotion to regular),"34,300 to 40,000","8,575 to 10,000",above 100,"8,575 to 10,000",6.94,2.4 to 3.2 eggs of 55 g,"5,683 to 8,840",COST-41; APR-04; NQR-08,VN-direct,Medium,revealed,Absorption 50% assumed for animal foods (our simplification of APR-04 Appendix 5).
NQR-C10,Hen eggs,"B2B (Kamereo, 61 g eggs)","43,952","10,988",above 100,"10,988",6.94,2.1 to 2.8 eggs,"7,286 to 9,714",CPC-12; APR-04; NQR-08,VN-direct,Medium,revealed,
NQR-C11,Chicken thigh,retail,"39,000","9,750",above 100,"9,750",9.06,62 to 82 g,"4,898 to 6,531",COST-40; APR-04; NQR-09,VN-direct,Medium,revealed,Industrial thigh composition from APR-04 Appendix 7.
NQR-C12,Chicken breast,B2B,"48,103","12,026",above 100,"12,026",4.37,,,CPC-12; APR-04,VN-direct,Medium,revealed,
NQR-C13,Lean pork,retail,"70,900","17,725",above 100,"17,725",13.16,40 to 54 g,"5,322 to 7,096",COST-39; APR-04; NQR-07,VN-direct,Medium,revealed,
NQR-C14,Minced pork,B2B,"69,364","17,341",above 100,"17,341",11.58 to 13.16,,,CPC-12; APR-04; NQR-07,VN-direct,Medium,revealed,
NQR-C15,Minced pork with 25% of protein from textured soy,B2B pork plus ex-factory textured soy,"52,948 to 54,698","13,237 to 13,674",99.5 to 107.5,"13,237 to 13,743",11.12,a portion of the blend with 9.1 to 12.1 g protein,"4,800 to 6,611",CPC-12; PMR-C09; NQR-05; NQR-07,VN-direct,Low,inferred,"20% gives VND 14,058 to 14,408 and 30% VND 12,416 to 12,941 per 25 g; zinc per gram of protein 12 to 19% below all-pork."
NQR-C16,UHT milk,retail,"91,900 to 119,000","22,975 to 29,750",above 100,"22,975 to 29,750",10.26,252 to 336 ml,"9,030 to 12,040",DIE-18; APR-04; NQR-09,VN-direct,Low,revealed,"Upper price if label protein is 3.0 to 3.2 g (DPP-022 note). Zinc-share cost at VND 35,833 per litre (DPP-022 basis) and 50% absorption."
NQR-C17,"Soy milk, packaged",retail,"109,647","27,412",91 to 99,"27,689 to 30,123",14.19 (home style),,,DIE-17; FORM-01; NQR-05; NQR-09,VN-direct,Medium,revealed,
NQR-C18,Branded retail textured analogue,retail,"112,000","28,000",86 to above 100,"28,000 to 32,558",,,,FORM-01; NQR-09; NQR-10,VN-direct,Medium,revealed,
NQR-C19,Border-commune lunch money (Decree 339/2025),cash for non-rice food; rice supplied in kind,,,,,,,"protein-food budget VND 10,227 to 11,250 a day if half the cash buys protein foods (our assumption)",APR-09,VN-direct,Medium,revealed,"VND 450,000 a month over 20 to 22 school days = VND 20,455 to 22,500 a day. Half buys 25.6 to 32.8 g of egg protein, 14.4 to 16.2 g of pork protein, or 62 g or more of DIAAS-adjusted textured-soy protein (our calculation)."
