family,sub_technology,trl_2026,key_metric_now,trajectory_2030,trajectory_2035,trajectory_2040,trajectory_2050,leading_actors,approvals_to_date,vn_fit_now,vn_window_opens_when,signposts,source_ids,evidence_label,confidence,foresight_type,horizon_year,notes
AI bio-design,Bayesian optimisation and active learning for media and fermentation process development,6 to 7 (our judgement),38% fewer experiments than DOE for a 14-component muscle-cell medium (2022); 3 to 30 times fewer experiments for Pichia protein production and PBMC media (2025),Standard practice in company R&D in approved markets (trend from 2022 to 2026 publication growth),Coupled to automated labs; transfer learning across products (signal),Routine; advantage shifts to whoever holds proprietary data (estimate),Commodity tool; no lasting advantage from the method itself (estimate),"UC Davis (Block, Baar), MIT and Broad (Narayanan et al.), University of Tsukuba, Multus, Alberta Machine Intelligence Institute",Not applicable,Moderate: needs a wet lab with a reliable assay plus data science; compute and ML skills exist in Vietnam,"Now, for yeast, SCP and feed-enzyme media on cassava and molasses streams",Open media datasets published; a Vietnamese paper using BO for feed-yeast or enzyme production,FTB-02; FTB-03; FTB-04; FTB-46,general,High,trend,2026 to 2030,"Gains depend on problem dimension and expert baseline; a 2026 preprint finds BO only ""rivals"" expert DOE."
AI bio-design,"Protein language models and generative protein design (ESM3, ProGen, RFdiffusion class)",4 to 6 for food proteins (our judgement),Functional fluorescent protein at 58% identity to known proteins (2025); active artificial lysozymes (2023); no approved food protein designed de novo found,"AI-redesigned enzymes (phytase, proteases, transglutaminase) in feed and processing (estimate)",First AI-designed or heavily AI-optimised food protein in a regulatory dossier (estimate),"Designed sweet, heme, structural and growth-factor proteins common in product pipelines (estimate)","Design no longer a bottleneck; expression, regulation and cost dominate (estimate)","EvolutionaryScale, Profluent and Salesforce (ProGen), Institute for Protein Design, Google DeepMind, Chinese academic groups",None identified for food,Moderate for design (in-country GPU capacity since 2025 to 2026); weak for build and test,"Now for design; build and test through Korean, Singapore or Chinese partners until a domestic automated lab exists",Regulator guidance on AI-designed proteins; first FDA or EFSA dossier naming a de novo protein; Vietnamese food-protein design paper,FTB-07; FTB-08; FTB-01; FTB-10,general,Medium,signal,2026 to 2035,"Vietnam protein-design output 46 works 2019 to 2026, rising; none on food proteins in our sample."
AI bio-design,Autonomous biofoundries and self-driving labs (including LLM-agent control),5 to 6 (our judgement),Phytase activity up 26-fold at neutral pH in 4 rounds over 4 weeks with fewer than 500 variants (2025); BioAutomata tested less than 1% of variants and beat random screening by 77% (2019),"Services available in Korea, Singapore, China and the US; agentic control spreads (trend and signal)",Remote build-test by contract becomes normal for small firms (estimate),A Vietnamese shared automated lab plausible if funded (estimate),Vision only: networked regional biofoundries doing most DBTL work (vision),"iBioFAB (Illinois), K-Biofoundry (KRIBB), A*STAR SPARROW, HKUST(GZ) Biofoundry, Australian Genome Foundry, CSIRO BioFoundry",Not applicable,Weak: no Vietnamese biofoundry or GBA member,"When a Resolution 57 or National AI Development Fund programme funds a shared automated lab, or an MoU gives Vietnamese teams access to K-Biofoundry or SPARROW",Vietnam joins the Global Biofoundry Alliance; MoU with a regional biofoundry; AI Fund call naming life sciences,FTB-05; FTB-06; FTB-09; FTB-11; FTB-12; FTB-48; FTB-49,general,Medium,signal,2030 to 2035,"Acceleration evidence comes from biofoundries plus AI, not AI software alone. The National AI Strategy (Decision 1671/QD-TTg, 28 Aug 2026) sets 2030 compute and AI-talent targets but names no biofoundry (FTB-48); the draft biotechnology strategy 2026 to 2030 names bioinformatics and AI (FTB-49)."
Precision fermentation,"High-value, low-dose proteins (lactoferrin, heme proteins, sweet proteins, enzymes, HMOs)",8 to 9,"Conventional lactoferrin sells at USD 750 to 1,500 per kg; US GRAS letters for precision-fermented lactoferrin (2025); Singapore lists 3 precision-fermented items","Several products each in US, Singapore, China, Canada and Israel (trend 2023 to 2025)",Prices fall as capacity and continuous processing spread (estimate),Mature specialty ingredient sector (estimate),Mature (estimate),"TurtleTree, All G, Impossible Foods, Novonesis and Chr. Hansen, Chinese producers",US GRAS letters; Singapore 3 items (2023 to 2025); EFSA leghemoglobin opinion (2024),Weak to moderate: Vietnamese groups express proteins in Pichia; manufacture under contract abroad,When MAE issues the first closed-production GMO certificate and VFA accepts reliance on US or Singapore decisions; plausible 2030 to 2035,First closed-production certificate; VFA clearance of an imported precision-fermented ingredient; regional contract manufacturer above 10 m3 food-grade,FTB-17; FTB-18; FTB-19; FTB-41,general,Medium,estimate,2030 to 2035,Edition 1.0 already judged this the only near-term fit for precision fermentation in Vietnam.
Precision fermentation,"Functional dairy and egg proteins (beta-lactoglobulin, casein, ovalbumin)",7 to 8,"Best published leghemoglobin titre 10.1 g/L vs the ""above 50 g/L"" benchmark (edition 1.0); 2025 US GRAS letters for beta-lactoglobulin (Vivici, Verley, Shanghai Changing) and ovalbumin (Onego); fermentation funding USD 357 million in 2025 (66% precision)",Premium blends and B2B functional uses (estimate),"""Envisaged"" USD 1 per kg target (Nielsen et al.) versus no published model; first-generation patents begin to expire 2033 to 2036 (estimate)",Commodity use only if titres above 50 g/L and chromatography-free downstream are proven at scale (estimate),Could supply a meaningful share of dairy and egg protein ingredients if cheap sugar and power exist (estimate),"Perfect Day, Vivici, Verley, Onego Bio, The EVERY Company, Remilk, Imagindairy, Shanghai Changing Biotechnology","US GRAS letters (2020 to 2025); Singapore Remilk (2023); Canada Remilk (2024, edition 1.0); no EU authorisation found",Weak,"2035 to 2040 at the earliest (estimate), requiring food-grade capacity above 100 m3, low-cost sugar and power, and a clear GMO-product rule",Peer-reviewed titre above 50 g/L; FDA mandatory GRAS rule; first EU authorisation; patent expiries; Chinese exports priced below dairy,FTB-17; FTB-18; FTB-19; FTB-21; FTB-23,general,Low,estimate,2035 to 2040,No peer-reviewed TEA for a precision-fermented food protein found for 2024 to 2026.
Cultivated meat,"Poultry and mammalian cells, including hybrids with plant protein",6 to 7,"Largest production scale 20,000 L (Vow); media claims USD 0.20 per litre or below; investment USD 73.9 million in 2025 (from about USD 1 billion in 2021); 142 companies","Hybrid products at foodservice price points in approved markets (review judgement: ""within the decade"")",Whole cuts premium through the early 2030s; consolidation continues (review judgement and trend),Fat and flavour cells in hybrids at scale in a few markets (estimate),"1% of global meat would need about 300 million L of new mammalian culture capacity, about 30 times 2021 capacity (model projection)","Vow, UPSIDE, GOOD Meat, Mission Barns, PARIMA, Aleph Farms, Meatly, Joes Future Food","Singapore, US, Australia and New Zealand (7 companies); UK pet food; Israel (Aleph)",Weak,"After 2035 and only with a novel-food route, a verified low-cost medium and a partner cell line","Peer-reviewed TEA with medium below USD 0.5 per litre; Korean, Japanese or Thai approval; further state bans; closures after approval",FTB-24; FTB-26; FTB-27; FTB-44; FTB-45; FTB-01,general,Medium,projection,after 2035,Environmental case conditional: 4 to 25 times beef CO2e with purified media (FTB-26).
Cultivated seafood,"Fish and crustacean cells, including fat cells",5 to 6,"One US clearance (Wildtype salmon, 2025); Umami Bioworks fish ingredients registered for EU pet food (2025); immortalised mackerel and flounder myoblasts published; no tra or shrimp food line","Niche premium (salmon, eel, tuna) in Singapore, US, Japan (estimate)",Fish fat and flavour cells in hybrids (estimate),Possible Vietnamese role in species-specific cell lines and fat cells (estimate),"Vision: tra, shrimp or eel cells as ingredients from a Vietnamese biomanufacturing base (vision)","Wildtype, Umami Bioworks (with Shiok Meats and Umios), BLUU Seafood, ImpacFat",US (Wildtype 2025); EU pet-food registration (Umami 2025),Weak,"2040s, if a food-grade catfish or shrimp line exists, media below about USD 0.5 per litre is proven, and Vietnam has a reliance-based novel-food route",Food-grade tra or shrimp line published; Umami Singapore approval; Japanese cultivated eel launch,FTB-24; FTB-25; FTB-27,VN-adjacent,Low,estimate,2040 to 2050,Edition 1.0: PHT catfish line is serum-dependent; PmLyO-Sf9 is part insect.
Molecular farming,"Seed and tuber crops expressing animal proteins (soybean, pea, maize, safflower, potato)",5 to 7,"APHIS clearances 2024 (Moolec soy with pork proteins, pea with bovine myoglobin); claimed expression up to 26.6% of total soluble protein; maize myoglobin above 10 mg per g (claim)",First FDA-completed food consultation plausible (estimate),"Low-dose ingredients (heme, chymosin, casein fractions) in some markets (estimate)",Contained or identity-preserved production common for high-value proteins (estimate),"Niche for high-value proteins; not bulk protein, given tens to a few hundred kg of target protein per ha (estimate)","Moolec (with Bioceres), Alpine Bio, PoLoPo, IngredientWerks, Mozza, Finally Foods, Kyomei",USDA APHIS clearances only; no completed FDA food review found,"Weak: GM maize cultivation licensed since 2015, but no molecular-farming project","2035 or later; needs GM cultivation biosafety certificate, food or feed GMO certificate and containment rules",FDA completes a molecular-farming consultation; Vietnam issues a biosafety certificate for a non-maize GM crop; contained duckweed expression work in Vietnam,FTB-28; FTB-29; FTB-30; FTB-31; FTB-32; FTB-33; FTB-34,general,Low,estimate,2035 to 2040,Per-hectare figures are our estimate from company expression claims and assumed yields.
Molecular farming,"Contained hosts (duckweed, leaf systems, plant cell culture) for growth factors, heme and enzymes",4 to 6,Plant cell culture firm Ayana Bio buying distressed fermentation assets (2026); duckweed germplasm and genome held in Vietnam (edition 1.0),Pilot supply of growth factors to cultivated-meat firms (signal),Competitive with microbial growth factors in some cases (estimate),Established supplier niche (estimate),Niche (estimate),"Ayana Bio, barley and tobacco-based growth factor suppliers",None for food found,Weak to moderate (duckweed assets),"2035 to 2040 (estimate), after a first foreign food approval of a contained-host protein",Peer-reviewed duckweed expression of a food or feed protein; Vietnamese duckweed transformation paper,FTB-38; FTB-33,general,Low,signal,2035 to 2040,
Cell-free protein synthesis,Bulk food protein manufacture,2 to 3 for food (our judgement),Best documented costs about USD 2.8 per mg (mAb TEA at 100 L); low-cost PURE about USD 580 per mg (our arithmetic); largest scale-up 100 L (2011),None (estimate),None (estimate),R&D only (estimate),"Wildcard: only if energy regeneration, DNA and extract recycling all break through",Academic groups; pharma CFPS firms,None for food,Not applicable,Not before 2050 for bulk food (estimate),Peer-reviewed food TEA for CFPS; kg-scale food-grade CFPS run,FTB-35; FTB-36,general,Medium,wildcard,2050,5 to 8 orders of magnitude above food protein prices.
