scenario,year,route,indicator,value,low,high,unit,source_ids,evidence_label,confidence,demand_evidence_type,notes
D-BENCH,2030,R2,added_chay_person_days,0.0,,,million person-days a year,demand_outputs.csv; demand_assumptions.csv,VN-direct,Low,inferred,Meat-free person-days added by extra chay days (displaced / (meat protein per person-day x 0.7)). Each day holds two to three meat meals.
D-BENCH,2030,R2,meat_protein_displaced_t,0,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (added chay days).
D-BENCH,2030,R2,pigs_spared,0,0,0,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
D-BENCH,2030,R2,poultry_spared,0,0,0,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
D-BENCH,2030,R2,cattle_and_buffalo_spared,0,0,0,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
D-BENCH,2030,R2,co2e_avoided_net_t,0,0,0,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
D-BENCH,2030,R3,meat_protein_displaced_t,212,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (hybrid processed meat).
D-BENCH,2030,R3,pigs_spared,16076,15836,16323,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
D-BENCH,2030,R3,poultry_spared,109811,97883,122828,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
D-BENCH,2030,R3,cattle_and_buffalo_spared,908,908,973,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
D-BENCH,2030,R3,co2e_avoided_net_t,13363,7602,24200,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
D-BENCH,2030,R4,meat_protein_displaced_t,177,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (canteens and schools).
D-BENCH,2030,R4,pigs_spared,10253,10100,10411,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
D-BENCH,2030,R4,poultry_spared,206516,184084,230996,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
D-BENCH,2030,R4,cattle_and_buffalo_spared,656,656,703,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
D-BENCH,2030,R4,co2e_avoided_net_t,9955,5045,18496,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
D-BENCH,2030,R5,meat_protein_displaced_t,39,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (household analogues).
D-BENCH,2030,R5,pigs_spared,2269,2235,2304,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
D-BENCH,2030,R5,poultry_spared,45698,40734,51115,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
D-BENCH,2030,R5,cattle_and_buffalo_spared,145,145,156,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
D-BENCH,2030,R5,co2e_avoided_net_t,979,-1776,3901,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
D-BENCH,2030,R2 to R5,animals_spared_total,392332,352582,435808,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Pigs, poultry, cattle and buffalo. Fish not counted: the model counts meat only, though added chay days would also avoid fish."
D-BENCH,2030,R2 to R5,poultry_share_of_animals_spared,92.3,,,%,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,
D-BENCH,2030,R2 to R5,co2e_avoided_net_t,24296,10871,46596,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Sum of R2 to R5. Routes R1, R6 and R7 displace no Vietnamese meat in the model."
D-BENCH,2030,R4,canteen_meals_shifted,11.0,,,million meal-equivalents a year,"demand_assumptions.csv (DMA-079, DMA-080, DMA-089 to DMA-098)",VN-direct,Low,inferred,A meal-equivalent is one protein dish of 20 g protein supplied by plant or novel protein instead of meat.
D-BENCH,2030,R4,school_meals_shifted,0.0,,,million meal-equivalents a year,"demand_assumptions.csv (DMA-081, DMA-082, DMA-104 to DMA-113)",VN-direct,Low,inferred,"MOH school-meal guidance (APR-04) asks for animal protein at least 4 to 5 days a week, which caps animal-free school days at about 1 in 5."
D-BENCH,2030,R1,meat_protein_displaced_t,0,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Import substitution replaces imported plant protein with domestic plant protein; no meat displaced.
D-BENCH,2030,R1,animals_spared_total,0,,,head a year,demand_outputs.csv,VN-direct,Low,inferred,
D-BENCH,2030,R1,co2e_avoided_net_t,about 0 (sign unknown),,,t CO2e a year,MAC-04; MAC-09,VN-adjacent,Low,inferred,Soy protein replaces soy protein; the feedstock would still be imported soybeans. Only freight and process energy differ; not computed.
D-BENCH,2030,R1,import_value_replaced_usd_m,5.9,4.8,7.0,USD million a year (gross),BUY-02; demand_outputs.csv,VN-direct,Low,inferred,"5.4 kt product at 65% protein x USD 0.9 to 1.3 per kg (unit values of Chinese shipments, package ch26); value is the midpoint, low and high are the price bounds. Gross; net of imported soybean feedstock is lower."
D-BENCH,2030,R1,domestic_share_of_food_plant_protein_pool,10,,,%,demand_assumptions.csv,VN-direct,Low,inferred,Scenario assumption (DMA-014 to DMA-023).
D-BENCH,2035,R2,added_chay_person_days,38.4,,,million person-days a year,demand_outputs.csv; demand_assumptions.csv,VN-direct,Low,inferred,Meat-free person-days added by extra chay days (displaced / (meat protein per person-day x 0.7)). Each day holds two to three meat meals.
D-BENCH,2035,R2,meat_protein_displaced_t,904,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (added chay days).
D-BENCH,2035,R2,pigs_spared,48956,48226,49710,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
D-BENCH,2035,R2,poultry_spared,1182127,1053725,1322255,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
