record_id,channel_or_supplier,channel_type,product,brand_or_maker,origin,format,pack_size_g,listed_price_vnd,vnd_per_kg,availability_2026_09_25,units_sold_counter,protein_g_per_100g,protein_basis,vnd_per_100g_protein,vnd_per_20g_protein,source_ids,evidence_label,confidence,demand_evidence_type,notes
B2B-01,Kamereo,HoReCa B2B platform,Heo xay chay Meat Zero 1 kg (plant-based minced pork),CP Meat Zero,Thailand,frozen,1000,244000,244000,out of stock; not orderable,16,,not visible,,,AIS-25; CPC-12,VN-direct,Medium,revealed,"To cost less per gram of protein than CP minced pork on the same platform it would need more than 35.2 g protein per 100 g (our calculation: 244,000 / 69,364 x 100 / 10)."
B2B-02,Kamereo,HoReCa B2B platform,Heo xay chay Meat Zero 220 g,CP Meat Zero,Thailand,frozen,220,39001,177277,out of stock; not orderable,44,,not visible,,,AIS-25; CPC-12,VN-direct,Medium,revealed,Break-even against CP minced pork: 25.6 g protein per 100 g (our calculation).
B2B-03,Kamereo,HoReCa B2B platform,Heo quay chay Meat Zero 1 kg (plant-based roast pork),CP Meat Zero,Thailand,frozen,1000,209001,209001,out of stock; not orderable,6,,not visible,,,AIS-25; CPC-12,VN-direct,Medium,revealed,
B2B-04,Kamereo,HoReCa B2B platform,Heo quay chay Meat Zero 200 g,CP Meat Zero,Thailand,frozen,200,35000,175000,out of stock; not orderable,51,,not visible,,,AIS-25; CPC-12,VN-direct,Medium,revealed,
B2B-05,Kamereo,HoReCa B2B platform,Cha lua chay bologna Meat Zero 500 g,CP Meat Zero,Thailand,frozen,500,189000,378000,out of stock; not orderable,14,,not visible,,,AIS-25; CPC-12,VN-direct,Medium,revealed,
B2B-06,Kamereo,HoReCa B2B platform,Cha lua chay bologna Meat Zero 90 g,CP Meat Zero,Thailand,frozen,90,34000,377778,out of stock; not orderable,104,,not visible,,,AIS-25; CPC-12,VN-direct,Medium,revealed,
B2B-07,Kamereo,HoReCa B2B platform,Cha lua chay bologna vi ot cay Meat Zero 500 g (spicy),CP Meat Zero,Thailand,frozen,500,189000,378000,out of stock; not orderable,20,,not visible,,,CPC-12,VN-direct,Medium,revealed,"Eighth Meat Zero SKU, not in AIS-25's list of seven."
B2B-08,Kamereo,HoReCa B2B platform,Cha lua chay bologna vi ot cay Meat Zero 90 g (spicy),CP Meat Zero,Thailand,frozen,90,34000,377778,out of stock; not orderable,131,,not visible,,,AIS-25; CPC-12,VN-direct,Medium,revealed,All eight Meat Zero SKUs together: 386 units on the sold counter.
B2B-09,Kamereo,HoReCa B2B platform,Cha gio Vissan chay 500 g,Vissan,Vietnam,frozen,500,,,out of stock; not orderable; no price,0,,not visible,,,CPC-12,VN-direct,Medium,revealed,The only other item in Kamereo's 'Plant-based' category found.
B2B-10,Kamereo,HoReCa B2B platform,Suon mieng chay Panko 1 kg (dry vegetarian rib pieces),"Panko (Sumimoto, per the listing)",Vietnam,"dry, ambient, 12-month shelf life",1000,135000,135000,in stock,170,53.3 to 66.7,"borrowed: label range of An Nhien dry soy and wheat pieces in FORM-01 (P086, P087, P089, P090); product label not visible",20240 to 25328,4048 to 5066,CPC-12; FORM-01,VN-direct,Low,revealed,"Ingredients: soy protein isolate, corn starch, wheat gluten, fibre, salt. Listing calls it a familiar choice of chay eateries, school kitchens and restaurants (stated). Tagged for chay restaurants."
