record_id,company,company_type,vietnam_presence,commitment_type,commitment,metric,target,deadline,scope,covers_vietnam,progress_reported,apb100_tier_2026,source_ids,evidence_label,confidence,demand_evidence_type,notes
CMT-01,Accor,hotel group,"Yes: 43 hotels (10,662 keys) operating in October 2024; Mercure Nha Trang (124 rooms) due late 2025",plant-based menu,50% vegetarian or plant-based dishes in menus,"share of dishes, averaged over the hotel's whole food offer",50%; France at least 20% by 2027; Novotel 25% by 2026,2030,"all hotels, managed and franchised, all brands",yes (policy applies to all hotels),By November 2024: 72% of Americas hotels offered plant-based options; Novotel at 39% of hotels with at least 25% plant-based menus (ARE citing Accor in the same Americas statement; Novotel scope probably the Americas). No Asia or Vietnam figure found,not assessed (not an Asian listed company),AFN-40; AFN-41; AFN-18,VN-direct,Medium,stated,"Only quantified plant-based menu target found that binds hotels in Vietnam. Metric counts dishes, not protein weight, so it can be met with vegetable, tofu and noodle dishes."
CMT-02,Accor,hotel group,Yes (see CMT-01),cage-free eggs,"Only cage-free eggs, shell and liquid",share of eggs,100%,end 2025 (commitment made 2017),all hotels,yes,ARE (February 2026): 'not yet achieved in Asia',not assessed,AFN-40; AFN-18,VN-adjacent,Medium,revealed,Asian delivery of the group's older food commitment lags; a guide to how the plant-based target may be delivered in Asia.
CMT-03,Marriott International,hotel group,Not verified in this line,none current,"2026 to 2030 goals contain no food, plant-based or cage-free goal; animal-welfare statement gives principles only",none,none,none,global,no target to cover,none,not assessed,CPC-01; CPC-02,general,High,revealed,Clean negative on the documents linked from Marriott's current policy page.
CMT-04,IHG Hotels and Resorts,hotel group,Yes: RBR 2024 names IHG hotels in Vietnam (food drives),cage-free eggs,Cage-free eggs across the entire global estate,share of hotels aligned,100%,2025,global estate,yes,2024: global 70.3%; EAPAC 4.1% (3.6% in 2023); Greater China 0%,not assessed,CPC-03; CPC-04,VN-adjacent,High,revealed,EAPAC includes Vietnam; country figure not published.
CMT-05,IHG Hotels and Resorts (Greater China),hotel group,Vietnam not in scope,plant-based menu,30% plant-based menus (reported by Lever Foundation),share of menu,30%,2025,Greater China only,no,not found; IHG RBR 2024 has no plant-based target,not assessed,AFN-38; CPC-04,VN-adjacent,Low,stated,Shows a hotel group can set a regional plant-based target in Asia; Vietnam is outside it.
CMT-06,Hilton,hotel group,Not verified in this line,cage-free eggs,"100% cage-free shell, liquid and egg products",share of eggs,100%,end 2025,"owned, managed and franchised hotels globally",yes if present,"2025 managed hotels: Americas 93%, EMEA 96%, APAC 42%",not assessed,CPC-05,VN-adjacent,Medium,revealed,No plant-based or menu goal on the responsible sourcing page.
CMT-07,Hyatt,hotel group,Not verified in this line,not found,No commitment on the World of Care page; policy pages not reachable,n/a,n/a,n/a,n/a,unknown,n/a,not assessed,CPC-06,general,Low,revealed,"Gap, not a negative."
CMT-08,"Minor International (Minor Hotels: Anantara, Avani; Minor Food)",hotel group and restaurant operator,Yes: Vietnam listed in Minor Hotels' Asia Pacific and Indian Ocean reporting region,cage-free eggs,100% cage-free egg products for Minor Food and Minor Hotels,share of eggs,100%,2027,Minor Food and Minor Hotels,yes,2025: Minor Food 56%; Minor Hotels 24% (62% data coverage); Asia Pacific and Indian Ocean hotels 13%,Tier 3,CPC-07; AFN-18,VN-adjacent,High,revealed,"Plant-based appears only as 'integration of plant-based alternatives' and 'plant-based menu options', with no metric."
CMT-09,"Wyndham, Melia, Banyan Group, Four Seasons, Lotte Hotels, Pan Pacific, Radisson, Vinpearl",hotel groups,Not verified in this line,not checked,Not checked in this line,n/a,n/a,n/a,n/a,unknown,n/a,not in APB 100 list read,none,VN-direct,Low,revealed,Listed so the gap is visible. We judge further desk checks here to be low yield (see Next-wave candidates).
CMT-10,Sodexo,contract caterer,Not confirmed: vn.sodexo.com redirects to the Singapore site,low-carbon menu (group); plant-based menu (US),Group: 70% of main dishes labelled low-carbon (0.9 kg CO2e or less). US page: 33% of planned menu offerings plant-based,share of main dishes; share of menu offerings,70% (group); 33% (US),2030 (group); 2025 (US),group-wide; US page scope not stated,only if Sodexo operates in Vietnam,Not reported in the integrated report as a share achieved,not assessed,CPC-08; AIB-38,general,Medium,stated,"The group metric is carbon per dish, not plant share; see disagreements.csv."
