question_id,actor_ids,audience,question,decision_it_informs,part_vi_coverage,where_in_part_vi,evidence_strength,better_answer_changes_decision,decision_value,notes
AIS-Q01,AIS-A03; AIS-A04; AIS-A06; AIS-A07; AIS-A08,investors,"Priced at Chinese landed textured protein (about USD 1.24 per kg FOB in 2025), what gross margin, capex per line and payback does a 1 t per hour domestic textured-protein line earn?","Whether T1 is a venture, private-equity, strategic or debt deal, or not investable",partly,"ch26.2 price ladder; ch28.3 (USD 57 million pool, about 3.5 lines by 2035); ch29.3 T1 kill test; cost only in Part I ch09.4 (capex assumed)",weak,yes,High,"Part VI raises T1 market pull to 5 without margin evidence. Part I's ex-factory cost of USD 792 to 2,065 per t straddles the Chinese border price; 'no verified extrusion capex found'. A line needs about 7,000 t a year of offtake, about USD 8.7 million of revenue at the Chinese border price (our calculation)."
AIS-Q02,AIS-A04; AIS-A06; AIS-A07; AIS-A08; AIS-A09; AIS-A20,investors,"Will at least three named buyers (chay makers, meat processors or plant-milk makers) sign a conditional trial order or letter of intent for a domestic ingredient at a stated price and volume?",Go or no-go on a first plant; which customers a founder targets first,not answered,"ch26.7 (first customers inferred); ch29.3 kill test; demand_moves.csv DMV-08; open questions OQ-231, OQ-234",none,yes,High,Investors in 2025 to 2026 ask for 'strong offtake agreements' and 'contracted revenue' (AIS-01). Part VI names plausible customers from labels and trade data only.
AIS-Q03,AIS-A14; AIS-A15; AIS-A16; AIS-A17; AIS-A20,startups,"How long does ingredient qualification take at Vietnamese processors, chay makers and dairy firms, and what minimum order, shelf life and documents apply?","Runway, working capital and round size for a founder",not answered,ch26.4 (qualification time 'the most important unknown'); OQ-233; DMV-08,none,yes,High,Part VI is candid that no buyer published these.
AIS-Q04,AIS-A07; AIS-A08; AIS-A11; AIS-A12; AIS-A13,investors,"Which strategic buyers have acquired or invested in protein-ingredient or alternative-protein firms in Vietnam or the region since 2020, and are any still doing so?",Exit route and fund fit (venture versus private equity versus strategic joint venture),out of scope,Not in Part VI; Part I ch07 lists deals and assumes trade-sale exits,weak,yes,High,Thai Union moved alternative proteins to 'exploring new frontiers' (AIS-23); Monde Nissin halted a fermentation plant (AIS-44); CJ's 2026 Vietnam push is K-food (AIS-27).
AIS-Q05,AIS-A14; AIS-A15; AIS-A16; AIS-A17,startups,"Do Vietnamese modern retailers and foodservice chains commission private-label or OEM chay and plant-protein products, from which makers, and at what price and volume?",Whether a startup should be an OEM or private-label supplier (the TiNDLE and INNOHAS model) rather than a brand,partly,ch25.1 (frozen chay sections include private labels); ch25.5 (channel economics absent); Part I ch03 (Co.op Select chay made under contract); OQ-213,weak,yes,High,
AIS-Q06,AIS-A12; AIS-A16; AIS-A17; AIS-A19,startups,"Which regional suppliers (Thai, Malaysian, Korean, Chinese) already sell finished chay or plant-protein products and novel protein ingredients into Vietnamese B2B channels, and at what prices?","Price and positioning of TPP-01, TPP-02, TPP-04 and TPP-06; whether domestic production has an edge",partly,ch26.1 to 26.2 (Chinese commodity ingredients only); ch26.5 (Fi Vietnam exhibitors); launches_exits.csv LE-09 (Meat Zero not found),weak,yes,High,New facts: Meat Zero chay SKUs on a HoReCa platform (AIS-25); Angel Yeast yeast protein marketed to Vietnamese makers (AIS-38).
AIS-Q07,AIS-A04; AIS-A14; AIS-A15; AIS-A16; AIS-A20,startups,"Which first channel (foodservice, chay makers, own-brand retail, export) produced repeat revenue for alternative-protein startups that entered Vietnam and Southeast Asia since 2019, and what share of revenue did it carry?",A founder's first channel; an investor's channel diligence,partly,"ch23.5 and launches_exits.csv (brand presence on shelves, not firm revenue); ch25.6 (ranking by judgement); Part I ch04 (Emmay volumes)",weak,maybe,Medium,"Founder evidence exists but is not used: VMEAT 70% of revenue from F&B (2021), Emmay 80% from wholesale and supermarkets (2022), Green Rebel's growth through foodservice (2026)."
AIS-Q08,AIS-A14; AIS-A15; AIS-A20,startups,"Would Vietnamese foodservice chains (hotpot, com tam, banh mi, cafe, quick service) list a plant or blended protein item at meat parity, and what volumes and repeat did past items achieve?",Foodservice-first go-to-market,partly,ch25.2 (trials 2018 to 2025 without disclosed outcomes); OQ-217,weak,yes,High,
AIS-Q09,AIS-A01; AIS-A12; AIS-A13,investors,"Will a Vietnamese meat processor or retailer co-develop and sell a blended meat product under its own brand, as Nurasa and a meat importer did with Q Protein in Singapore?",Whether to back hybrid-extender ventures and with which partner,partly,ch24.4; ch26.6 (no processor interest found); TPP-03; OQ-197; OQ-232,weak,yes,High,
AIS-Q10,AIS-A11; AIS-A13; AIS-A18,investors,"Do Vietnamese seafood exporters still hold, value or fund their cultivated-seafood stakes and memoranda, and would they pay for co-development?",Whether cultivated-seafood research (T8) has strategic co-investors in Vietnam,partly,"ch24.1 ('options, not product'; no later news); ch24.6 investors bullet; OQ-206",weak,maybe,Medium,Avant's Singapore unit wound up in January 2026 (AIS-34).
