question_id,actor_ids,audience,question,decision_it_informs,part_vi_coverage,where_in_part_vi,evidence_strength,better_answer_changes_decision,decision_value,notes
APR-Q01,APR-A01; APR-A02; APR-A03,policy,"Which plant or blended protein dishes can fill the two weekly plant-protein school meals set by MOH Decision 3958 (Dec 2025) at or below the cost of tofu and legume dishes, while giving 13 to 20% of energy from protein and meeting the iron, zinc and calcium targets?","Whether MOH, NIN and MOET name processed plant proteins (textured soy, fortified blends) in menu examples, menu software and the unified national menu",not answered,ch25.3 cites only Decision 1340 (2016) and ranks schools 'not first'; ch29.4 DMV-17; meal_programmes.csv INS-010,none,yes,High,Part VI does not cite Decision 3958. The guidance already creates a plant-protein slot filled today by tofu and legumes.
APR-Q02,APR-A03; APR-A08,policy,"How many pupils eat bán trú meals nationally and in stunting-hotspot provinces, at what meal price, and what share of meal cost buys protein?",Size and priority of the school channel in plays and channel rankings,partly,ch25.3 (Hanoi only); meal_programmes.csv INS-005 to INS-009; ch28 R4 assumes 0.8 billion school meals; OQ-219,weak,yes,High,"Decree 339/2025 now fixes border-commune lunch support at VND 450,000 a month; pupil numbers still not found."
APR-Q03,APR-A03; APR-A08; APR-A12,policy,"After the April 2026 pork case, would parents and school boards accept more tofu, legume or blended protein dishes, and do safety fears favour plant dishes or certified meat?",Timing of any school route for blends and higher-protein chay,not answered,ch25.3 ('schools until trust recovers'); OQ-228 and OQ-194 open,none,yes,Medium,HCMC school meals were still disrupted in Sep 2026 (APR-45); trust and operations both matter.
APR-Q04,APR-A02; APR-A12,research,"What are the protein quality (DIAAS or PDCAAS) and the zinc and iron bioavailability of candidate plant and blended dishes for children aged 6 to 14, compared with pork, egg and tofu dishes?",Whether NIN and UNICEF can endorse plant-rich school or complementary foods in stunting hotspots; fortification specifications,not answered,"No micronutrient analysis in Part VI; Part II (ch06, ch10) notes no Vietnamese DIAAS study",none,yes,High,School guidance appendix (APR-04) rates zinc absorption low when diets have little or no animal protein; zinc deficiency 53.3% of 6 to 59 month olds in 2020 (APR-42).
APR-Q05,APR-A02; APR-A03,research,"What does it take to add a new protein ingredient to the NIN food composition table, the school guidance's composition appendix and the menu-planning software used by schools?",Whether school uptake is feasible without a data entry; a cheap public-good step for funders,partly,ch21.4 and OQ-166 (newer composition table); menu software not mentioned,weak,yes,Medium,"Decision 3958 orders menu software to be updated; Ajinomoto's software reached 4,262 schools by 2023 (company claim)."
APR-Q06,APR-A01; APR-A02; APR-A10,policy,"Among Vietnamese adults, does eating legumes or tofu replace red meat in the same meal or day, or add to it?",Whether MOH's 'eat red meat in moderation' advice can be served by promoting plant protein; NCD framing,partly,"ch21.5 (after ASF households switched to chicken, not tofu); ch22 and OQ-178 (chay compensation)",weak,maybe,Medium,
APR-Q07,APR-A01; APR-A05,policy,"Will the Food Safety Law (first reading October 2026, vote May 2027) and its decrees define duties for non-commercial collective meal providers and a new-food route, and what documents will a small protein supplier need to sell to schools and canteens?",Timing and content of submissions; supplier qualification for public meals,partly,brief-policy option 1 (says October to November 2026 session); ch25.3 Dispatch 64; ch29.4 DMV-13 to DMV-17,moderate,yes,High,Timing in Part VI and the briefs is out of date (APR-07).
APR-Q08,APR-A05; APR-A03,policy,"Will the school-nutrition rule required by Resolution 71 and Decision 973 set protein sources, frequencies or cost norms, and will it include processed plant proteins or restrict them as processed foods?",Whether the school channel opens or closes by rule,not answered,Not in Part VI,none,yes,High,
APR-Q09,APR-A05; APR-A13; APR-A06,policy,"Do sweetened soy and nut milks count as 'nước giải khát' under the sugary-drink excise from 2027 (8%, 10% from 2028), while dairy milk is exempt?",Plant-milk makers' reformulation (below 5 g sugar per 100 ml) and pricing; play T10; a policy ask for clarification,not answered,"ch23 (plant milk priced at or below dairy); ch26 (Vinamilk, Vinasoy); TPP-05",none,yes,High,Dairy and 'liquid foods for nutritional purposes' are exempt (APR-19); plant milks not mentioned.
APR-Q10,APR-A04; APR-A11,policy,"Can the Decision 300 food balance sheets (national to provincial, MAE lead) record protein by source (animal, plant, novel) so that protein diversification becomes measurable?",Whether to add a protein line to the NAP-FST M&E; a government home for Part V's national protein balance,not answered,Out of Part VI scope; Part V ch20 robust move on a national protein and feed balance,weak,maybe,Medium,
APR-Q11,APR-A04; APR-A14,policy,"At what share of meat protein displaced would demand-side substitution make a measurable contribution to the 2030 livestock methane cap, compared with feed and manure measures?",Whether to frame alternative protein as a climate lever in MAE and World Bank dialogue,partly,ch28 (0.2% benchmark and 0.7% stretch displacement by 2035); emissions_targets.csv ET-11,moderate,no,Low,A desk calculation would probably confirm Part VI: displacement is too small to matter for the 2030 cap.
