frame_id,object,items_found_2015_2026,dominant_frame,who_uses_it,official_action_seen,implication_for_part_vi,source_ids,evidence_label,confidence,demand_evidence_type,notes
TRU-F01,Starch filler in artisan giò and chả (độn bột),8 register items (2015 to 2020) plus 2026 retail advice and seller claims,fraud; cheapening,"press advice columns, a provincial CDC, consumers, artisan sellers, retailers",none specific to starch in giò; one floss case closed (2015),Do not test TPP-03 first in giò lụa; avoid độn wording,TRU-02; TRU-03; TRU-08; TRU-27; TRU-29,VN-direct,Medium,revealed,
TRU-F02,Declared soy or plant protein in branded processed meat,0 stories found,none observed (neutral),processors list it; nobody reports it,none,A listed plant ingredient carries no observed penalty in industrial lines,TRU-22; TRU-25; BUY-05,VN-direct,Medium,revealed,Clean negative from Dan Tri and Google
TRU-F03,Soy protein named as a filler by artisan sellers,a few seller snippets (2026),negative marker,artisan and online sellers of lạp xưởng and sausages,none,Soy is exposed to a purity frame in artisan and premium lines,TRU-27; TRU-28,VN-direct,Low,revealed,Snippets
TRU-F04,Borax in giò chả,"at least 8 cases 2024 to 2026, including at least 6 prosecutions in 2026",health risk; crime,"press, police, courts",criminal prosecution,The dominant giò trust story; processed-meat trust is low in 2026,TRU-05; TRU-06; TRU-07,VN-direct,Medium,revealed,
TRU-F05,"Diseased, rotten or untraceable meat in processed products",5 register items 2023 to 2026 plus customs seizures,health risk; crime,"press, police, customs",seizures; prosecutions,Same; a new ingredient enters a market primed for suspicion,TRU-20; TRU-31,VN-direct,Medium,revealed,
TRU-F06,Species substitution against a declared meat content,"3 (2017, 2025, 2026)",fraud; crime,police; forensic DNA labs,criminal charges,Declared percentages are enforceable; DMV-14's value is defensive,TRU-09; TRU-12; NOV-72,VN-direct,Medium,revealed,
TRU-F07,Meat in chay,0 confirmed; 1 official suspicion (2021); 1 relayed foreign story (2015); 3 social register rows (4 posts),"fraud (religious), as rumour","social media, relayed press, one research paper",samples taken in 2021; no result found,Re-weight DMV-07; a TPP-02 protein claim is not undercut now,TRU-18; TRU-01; TRU-30; CHY-61,VN-direct,Medium,revealed,
TRU-F08,"Chay safety: borax, microbes, origin, additives",15 register items 2015 to 2026,health risk,"press, inspectors","seizures, fines, destruction, inspection waves",DMV-07's core tests; the basis of chay trust for TPP-02,TRU-14; TRU-16; TRU-17; TRU-04; CHY-23; CHY-59; CHY-60; LBL-23,VN-direct,Medium,revealed,
TRU-F09,Plant-based meat as a product,3 articles plus Dan Tri term counts,deception headline; artificial; health risk; bodies often favourable,national press,none,Confirms the package's advice to avoid nhân tạo and giả,TRU-10; TRU-11; TRU-13; TRU-22,VN-direct,Medium,revealed,
TRU-F10,Named culinary or health plant ingredients in sausages,5 market signals,healthy; acceptable,"small makers, value brands, children's lines, a food app",none,"Name the plant part as an ingredient, not as meat replaced",TRU-26; TRU-32; TRU-22,VN-direct,Low,revealed,
TRU-F11,A declared meat and plant-protein blend sold as such,0 products or stories found,not observed,none,none,Clean negative; D-STRETCH R3 assumes a frame not yet seen,TRU-22,VN-direct,Medium,revealed,Dan Tri: 0 results for Meat Zero
